id,question,difficulty,category,date
1,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-05-09
2,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-03-15
3,What are the key differences between classification and regression?,Medium,Machine Learning,2025-06-28
4,What is principal component analysis (PCA)?,Easy,Data Science,2024-09-03
5,How would you optimize a machine learning model?,Easy,Machine Learning,2025-01-30
6,Can you explain the concept of gradient descent?,Hard,Machine Learning,2025-07-25
7,Describe the process of feature selection.,Easy,Machine Learning,2024-11-03
8,What metrics would you use to evaluate a regression model?,Easy,Machine Learning,2025-06-09
9,What is the difference between bagging and boosting?,Medium,Machine Learning,2025-04-17
10,What is the bias-variance tradeoff?,Hard,Machine Learning,2025-01-07
11,What are the key differences between classification and regression?,Medium,Machine Learning,2024-12-23
12,What are the advantages of ensemble methods?,Hard,Machine Learning,2025-03-12
13,How would you explain the concept of overfitting?,Easy,Machine Learning,2024-10-28
14,How does a neural network work?,Medium,Deep Learning,2025-03-21
15,What is principal component analysis (PCA)?,Medium,Data Science,2024-09-10
16,Can you explain the concept of gradient descent?,Easy,Machine Learning,2025-06-29
17,How would you optimize a machine learning model?,Medium,Machine Learning,2025-04-13
18,What is regularization and why is it important?,Easy,Machine Learning,2025-01-22
19,How would you optimize a machine learning model?,Hard,Machine Learning,2025-06-23
20,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-03-22
21,Describe the process of feature selection.,Hard,Machine Learning,2024-08-12
22,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2025-04-17
23,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-12-24
24,Can you explain the concept of gradient descent?,Hard,Machine Learning,2025-05-09
25,What is regularization and why is it important?,Hard,Machine Learning,2025-02-13
26,What are the advantages of ensemble methods?,Easy,Machine Learning,2024-09-09
27,What is the difference between bagging and boosting?,Hard,Machine Learning,2025-01-26
28,What is the bias-variance tradeoff?,Easy,Machine Learning,2024-11-11
29,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-01-20
30,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2024-09-10
31,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-07-22
32,What is the role of activation functions in deep learning?,Hard,Deep Learning,2024-09-27
33,How would you optimize a machine learning model?,Hard,Machine Learning,2025-07-23
34,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-01-12
35,What are the key differences between classification and regression?,Medium,Machine Learning,2025-03-07
36,What is the difference between bagging and boosting?,Hard,Machine Learning,2024-09-22
37,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2025-01-22
38,How would you explain the concept of overfitting?,Easy,Machine Learning,2024-08-12
39,How would you explain the concept of overfitting?,Medium,Machine Learning,2025-03-05
40,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-12-18
41,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2025-04-21
42,What are the key differences between classification and regression?,Easy,Machine Learning,2024-10-11
43,Describe the process of feature selection.,Medium,Machine Learning,2025-04-04
44,What are the advantages of ensemble methods?,Easy,Machine Learning,2025-05-03
45,Can you explain the concept of gradient descent?,Medium,Machine Learning,2024-12-13
46,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-10-24
47,How would you explain the concept of overfitting?,Hard,Machine Learning,2025-05-18
48,How would you approach data cleaning for a large dataset?,Medium,Data Science,2025-05-06
49,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-02-25
50,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2025-07-22
51,What are the key differences between classification and regression?,Easy,Machine Learning,2025-03-14
52,How would you approach data cleaning for a large dataset?,Hard,Data Science,2024-09-03
53,What is principal component analysis (PCA)?,Easy,Data Science,2024-08-11
54,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-03-27
55,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-02-16
56,How would you approach data cleaning for a large dataset?,Medium,Data Science,2025-02-07
57,What are the advantages of ensemble methods?,Medium,Machine Learning,2025-01-29
58,Describe the process of feature selection.,Hard,Machine Learning,2025-04-01
59,How would you approach data cleaning for a large dataset?,Easy,Data Science,2025-04-11
60,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2024-11-27
61,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-01-16
62,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-08-28
63,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2025-03-14
64,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2024-12-09
65,What is the bias-variance tradeoff?,Hard,Machine Learning,2024-12-29
66,Can you explain the concept of gradient descent?,Hard,Machine Learning,2025-06-23
67,Explain cross-validation and its purpose.,Hard,Machine Learning,2024-10-20
68,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2024-11-05
69,What is principal component analysis (PCA)?,Easy,Data Science,2025-06-25
70,What is regularization and why is it important?,Easy,Machine Learning,2024-10-03
71,Describe the process of backpropagation.,Hard,Deep Learning,2025-07-25
72,What is principal component analysis (PCA)?,Medium,Data Science,2025-01-02
73,Describe the process of feature selection.,Hard,Machine Learning,2025-06-06
74,How would you optimize a machine learning model?,Medium,Machine Learning,2025-05-17
75,How would you approach data cleaning for a large dataset?,Easy,Data Science,2025-01-13
76,How would you optimize a machine learning model?,Medium,Machine Learning,2025-05-02
77,What is the role of activation functions in deep learning?,Easy,Deep Learning,2024-12-25
78,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-01-29
79,What is the difference between bagging and boosting?,Easy,Machine Learning,2024-08-25
80,What is principal component analysis (PCA)?,Hard,Data Science,2025-01-31
81,Describe the process of feature selection.,Easy,Machine Learning,2025-05-27
82,Describe the process of backpropagation.,Medium,Deep Learning,2025-01-22
83,What is the difference between bagging and boosting?,Easy,Machine Learning,2024-12-02
84,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-02-11
85,How does a neural network work?,Hard,Deep Learning,2025-05-12
86,What is regularization and why is it important?,Hard,Machine Learning,2024-11-16
87,How would you approach data cleaning for a large dataset?,Medium,Data Science,2024-10-03
88,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-10-30
89,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-07-30
90,What is the role of activation functions in deep learning?,Easy,Deep Learning,2025-02-14
91,Explain cross-validation and its purpose.,Medium,Machine Learning,2025-05-13
92,Explain cross-validation and its purpose.,Hard,Machine Learning,2024-10-24
93,What is regularization and why is it important?,Easy,Machine Learning,2024-11-26
94,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2025-02-11
95,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2024-09-16
96,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-10-27
97,How would you approach data cleaning for a large dataset?,Easy,Data Science,2024-08-05
98,What is regularization and why is it important?,Easy,Machine Learning,2024-12-04
99,What are the key differences between classification and regression?,Easy,Machine Learning,2024-09-22
100,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-10-16
101,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-10-15
102,Can you explain the concept of gradient descent?,Easy,Machine Learning,2025-07-22
103,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-09-10
104,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-02-09
105,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2024-10-14
106,How would you optimize a machine learning model?,Easy,Machine Learning,2024-08-26
107,Explain cross-validation and its purpose.,Medium,Machine Learning,2025-06-02
108,What is the role of activation functions in deep learning?,Medium,Deep Learning,2025-03-26
109,What are the advantages of ensemble methods?,Easy,Machine Learning,2024-12-02
110,What are the advantages of ensemble methods?,Easy,Machine Learning,2024-08-03
111,How would you approach data cleaning for a large dataset?,Medium,Data Science,2025-04-24
112,Can you explain the concept of gradient descent?,Easy,Machine Learning,2024-10-20
113,How does a neural network work?,Hard,Deep Learning,2025-03-22
114,What are the key differences between classification and regression?,Hard,Machine Learning,2025-02-22
115,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-04-26
116,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-05-16
117,What is the difference between bagging and boosting?,Hard,Machine Learning,2024-08-02
118,What is the role of activation functions in deep learning?,Medium,Deep Learning,2025-07-21
119,How would you optimize a machine learning model?,Medium,Machine Learning,2024-11-13
120,What are the key differences between classification and regression?,Medium,Machine Learning,2025-02-16
121,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-07-20
122,What is regularization and why is it important?,Medium,Machine Learning,2024-09-20
123,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2025-06-20
124,What are the key differences between classification and regression?,Easy,Machine Learning,2025-05-10
125,What is the bias-variance tradeoff?,Hard,Machine Learning,2025-06-09
126,What is regularization and why is it important?,Medium,Machine Learning,2025-06-13
127,Describe the process of feature selection.,Easy,Machine Learning,2025-06-08
128,How would you optimize a machine learning model?,Hard,Machine Learning,2024-10-27
129,What is principal component analysis (PCA)?,Medium,Data Science,2025-05-15
130,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2024-11-27
131,What is the role of activation functions in deep learning?,Hard,Deep Learning,2024-10-24
132,Describe the process of feature selection.,Easy,Machine Learning,2025-06-23
133,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-03-15
134,Can you explain the concept of gradient descent?,Easy,Machine Learning,2024-09-26
135,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-06-21
136,What are the advantages of ensemble methods?,Hard,Machine Learning,2024-08-24
137,How does a neural network work?,Hard,Deep Learning,2024-08-26
138,What is regularization and why is it important?,Medium,Machine Learning,2025-06-14
139,What is the bias-variance tradeoff?,Easy,Machine Learning,2024-10-02
140,What is the difference between bagging and boosting?,Medium,Machine Learning,2024-08-04
141,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-07-11
142,What is the role of activation functions in deep learning?,Medium,Deep Learning,2025-06-10
143,How would you optimize a machine learning model?,Hard,Machine Learning,2024-12-15
144,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2025-03-27
145,How does a neural network work?,Easy,Deep Learning,2025-07-04
146,What is the difference between bagging and boosting?,Medium,Machine Learning,2024-10-05
147,What is the role of activation functions in deep learning?,Easy,Deep Learning,2024-12-04
148,How would you explain the concept of overfitting?,Medium,Machine Learning,2025-06-23
149,What are the advantages of ensemble methods?,Easy,Machine Learning,2024-12-26
150,What is the role of activation functions in deep learning?,Easy,Deep Learning,2024-12-18
151,What is regularization and why is it important?,Easy,Machine Learning,2024-11-07
152,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2025-06-28
153,Describe the process of backpropagation.,Medium,Deep Learning,2024-12-14
154,Describe the process of feature selection.,Easy,Machine Learning,2024-09-25
155,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-07-05
156,How would you explain the concept of overfitting?,Easy,Machine Learning,2025-02-25
157,Can you explain the concept of gradient descent?,Easy,Machine Learning,2025-03-19
158,How would you optimize a machine learning model?,Easy,Machine Learning,2025-03-16
159,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2024-11-29
160,How does a neural network work?,Easy,Deep Learning,2025-05-19
161,What is regularization and why is it important?,Medium,Machine Learning,2024-10-18
162,What are the key differences between classification and regression?,Easy,Machine Learning,2025-01-11
163,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-01-17
164,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-10-18
165,Can you explain the concept of gradient descent?,Medium,Machine Learning,2024-10-09
166,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2024-11-05
167,How do you handle missing values in a dataset?,Easy,Data Science,2025-03-04
168,What is principal component analysis (PCA)?,Hard,Data Science,2025-07-06
169,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-04-23
170,How does a neural network work?,Easy,Deep Learning,2024-11-12
171,What is principal component analysis (PCA)?,Medium,Data Science,2024-11-05
172,Describe the process of backpropagation.,Easy,Deep Learning,2025-05-31
173,What is regularization and why is it important?,Hard,Machine Learning,2025-03-02
174,Describe the process of backpropagation.,Medium,Deep Learning,2024-08-15
175,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-07-12
176,Describe the process of backpropagation.,Easy,Deep Learning,2025-01-03
177,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-07-09
178,Describe the process of feature selection.,Hard,Machine Learning,2025-07-17
179,What is principal component analysis (PCA)?,Medium,Data Science,2025-02-05
180,Can you explain the concept of gradient descent?,Easy,Machine Learning,2025-07-02
181,What are the key differences between classification and regression?,Medium,Machine Learning,2025-07-20
182,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-01-23
183,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-01-10
184,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2025-01-27
185,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-04-24
186,What is principal component analysis (PCA)?,Easy,Data Science,2025-01-12
187,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2024-08-25
188,How would you explain the concept of overfitting?,Medium,Machine Learning,2025-07-25
189,What are the key differences between classification and regression?,Easy,Machine Learning,2025-07-26
190,How would you optimize a machine learning model?,Easy,Machine Learning,2025-03-22
191,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2025-01-28
192,What is the role of activation functions in deep learning?,Medium,Deep Learning,2025-06-10
193,What is the role of activation functions in deep learning?,Easy,Deep Learning,2025-02-15
194,What is the difference between bagging and boosting?,Hard,Machine Learning,2025-02-18
195,How would you explain the concept of overfitting?,Easy,Machine Learning,2025-06-18
196,What is principal component analysis (PCA)?,Easy,Data Science,2024-08-07
197,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-04-19
198,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-10-06
199,How do you handle missing values in a dataset?,Hard,Data Science,2025-05-05
200,What is the role of activation functions in deep learning?,Hard,Deep Learning,2025-04-01
201,What is principal component analysis (PCA)?,Hard,Data Science,2025-03-27
202,What is regularization and why is it important?,Easy,Machine Learning,2024-09-23
203,What is principal component analysis (PCA)?,Hard,Data Science,2024-09-24
204,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-09-19
205,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-06-25
206,How does a neural network work?,Easy,Deep Learning,2025-02-18
207,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2024-08-02
208,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2025-06-24
209,How does a neural network work?,Easy,Deep Learning,2024-08-29
210,How do you handle missing values in a dataset?,Medium,Data Science,2025-07-08
211,How does a neural network work?,Medium,Deep Learning,2025-04-18
212,What is the role of activation functions in deep learning?,Hard,Deep Learning,2025-07-01
213,What is the role of activation functions in deep learning?,Medium,Deep Learning,2025-01-21
214,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-09-27
215,Describe the process of feature selection.,Easy,Machine Learning,2024-10-12
216,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-01-27
217,How do you handle missing values in a dataset?,Hard,Data Science,2025-05-15
218,How do you handle missing values in a dataset?,Hard,Data Science,2024-12-11
219,What is regularization and why is it important?,Hard,Machine Learning,2025-06-26
220,What is regularization and why is it important?,Easy,Machine Learning,2024-12-27
221,What is regularization and why is it important?,Easy,Machine Learning,2024-12-14
222,How do you handle missing values in a dataset?,Medium,Data Science,2024-10-01
223,What is regularization and why is it important?,Medium,Machine Learning,2024-10-12
224,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-01-27
225,Describe the process of feature selection.,Medium,Machine Learning,2024-09-12
226,What are the advantages of ensemble methods?,Medium,Machine Learning,2025-05-13
227,Describe the process of feature selection.,Medium,Machine Learning,2024-10-10
228,What is principal component analysis (PCA)?,Hard,Data Science,2025-04-03
229,How would you optimize a machine learning model?,Medium,Machine Learning,2024-10-11
230,What is the difference between bagging and boosting?,Easy,Machine Learning,2024-08-23
231,How would you optimize a machine learning model?,Hard,Machine Learning,2025-07-21
232,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-05-15
233,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-06-27
234,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-10-30
235,What is the role of activation functions in deep learning?,Hard,Deep Learning,2025-03-15
236,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-08-19
237,What are the advantages of ensemble methods?,Hard,Machine Learning,2024-11-14
238,How would you optimize a machine learning model?,Medium,Machine Learning,2024-08-22
239,What metrics would you use to evaluate a regression model?,Easy,Machine Learning,2025-06-17
240,What are the key differences between classification and regression?,Medium,Machine Learning,2024-08-17
241,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-04-23
242,Describe the process of backpropagation.,Hard,Deep Learning,2024-11-22
243,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2025-06-21
244,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-10-04
245,How would you optimize a machine learning model?,Medium,Machine Learning,2024-09-20
246,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2024-11-26
247,What are the key differences between classification and regression?,Hard,Machine Learning,2024-12-01
248,Can you explain the concept of gradient descent?,Hard,Machine Learning,2025-06-01
249,Describe the process of feature selection.,Easy,Machine Learning,2024-08-21
250,What is principal component analysis (PCA)?,Hard,Data Science,2025-01-15
